Adam Masina	,Premier League,Italy,Italy,5000000,7000000,2018-06-07 00:00:00,Watford
Alberto Cerri	,Serie A,Italy,Italy,6000000,7500000,2018-06-18 00:00:00,Cagliari Calcio
Alberto Grassi	,Serie A,Italy,Italy,7000000,7000000,2018-06-07 00:00:00,Parma
Alberto Paloschi	,Serie A,Italy,Italy,2000000,6000000,2014-07-01 00:00:00,SPAL
Alessandro Bastoni	,Serie A,Italy,Italy,15000000,15000000,2019-03-01 00:00:00,Inter
Alessandro Berardi	,Serie A,Italy,Italy,50000,200000,2012-06-08 00:00:00,Hellas Verona
Alessandro Crescenzi	,Serie A,Italy,Italy,700000,2200000,2015-06-29 00:00:00,Hellas Verona
Alessandro Deiola	,Serie A,Italy,Italy,1200000,1600000,2016-06-13 00:00:00,Cagliari Calcio
Alessandro Florenzi	,Serie A,Italy,Italy,25000000,30000000,2018-06-07 00:00:00,AS Roma
Alessandro Matri	,Serie A,Italy,Italy,300000,16500000,2011-06-21 00:00:00,Brescia
Alessandro Murgia	,Serie A,Italy,Italy,5000000,6000000,2018-06-07 00:00:00,SPAL
Alessandro Semprini	,Serie A,Italy,Italy,200000,200000,2019-06-05 00:00:00,Brescia
Alessandro Tripaldelli	,Serie A,Italy,Italy,500000,500000,2019-06-05 00:00:00,Sassuolo
Alessio Cragno	,Serie A,Italy,Italy,20000000,20000000,2019-06-06 00:00:00,Cagliari Calcio
Alessio Romagnoli	,Serie A,Italy,Italy,50000000,50000000,2019-03-01 00:00:00,AC Milan
Alex Ferrari	,Serie A,Italy,Italy,1500000,1500000,2017-12-29 00:00:00,Sampdoria
Alex Meret	,Serie A,Italy,Italy,30000000,30000000,2019-10-08 00:00:00,SSC Napoli
Alfredo Donnarumma	,Serie A,Italy,Italy,6000000,6000000,2019-10-08 00:00:00,Brescia
Amato Ciciretti	,Serie A,Italy,Italy,1500000,3000000,2017-12-29 00:00:00,SSC Napoli
Andre Anderson	,Serie A,Italy,Italy,900000,900000,2019-06-05 00:00:00,Lazio
Andrea Adorante	,Serie A,Italy,Italy,500000,500000,2019-10-08 00:00:00,Parma
Andrea Belotti	,Serie A,Italy,Italy,35000000,40000000,2017-12-29 00:00:00,Torino
Andrea Bertolacci	,Serie A,Italy,Italy,3000000,15000000,2015-07-01 00:00:00,Sampdoria
Andrea Cistana	,Serie A,Italy,Italy,5000000,5000000,2019-10-08 00:00:00,Brescia
Andrea Consigli	,Serie A,Italy,Italy,4000000,8000000,2014-07-01 00:00:00,Sassuolo
Andrea Conti	,Serie A,Italy,Italy,15000000,18000000,2019-03-01 00:00:00,AC Milan
Andrea Danzi	,Serie A,Italy,Italy,500000,500000,2018-06-30 00:00:00,Hellas Verona
Andrea Favilli	,Serie A,Italy,Italy,6000000,6500000,2018-10-12 00:00:00,Genoa
Andrea La Mantia	,Serie A,Italy,Italy,2500000,2500000,2019-06-05 00:00:00,Lecce
Andrea Masiello	,Serie A,Italy,Italy,1000000,5000000,2010-06-30 00:00:00,Atalanta
Andrea Petagna	,Serie A,Italy,Italy,20000000,20000000,2019-06-06 00:00:00,SPAL
Andrea Pinamonti	,Serie A,Italy,Italy,15000000,15000000,2019-10-08 00:00:00,Genoa
Andrea Poli	,Serie A,Italy,Italy,3000000,10000000,2014-07-01 00:00:00,Bologna
Andrea Ranocchia	,Serie A,Italy,Italy,3000000,18000000,2013-01-15 00:00:00,Inter
Andrea Rispoli	,Serie A,Italy,Italy,1000000,2000000,2017-06-08 00:00:00,Lecce
Andrea Seculin	,Serie A,Italy,Italy,300000,500000,2010-07-19 00:00:00,Sampdoria
Andrea Tabanelli	,Serie A,Italy,Italy,600000,600000,2019-06-05 00:00:00,Lecce
Angelo Ogbonna	,Premier League,Italy,Italy,8000000,13000000,2013-07-25 00:00:00,West Ham
Antonino Barilla	,Serie A,Italy,Italy,1000000,1800000,2009-09-22 00:00:00,Parma
Antonino Gallo	,Serie A,Italy,Italy,200000,200000,2018-07-01 00:00:00,Lecce
Antonio Barreca	,Serie A,Italy,Italy,7000000,8000000,2018-09-06 00:00:00,Genoa
Antonio Candreva	,Serie A,Italy,Italy,7000000,27000000,2015-07-01 00:00:00,Inter
Antonio Di Gaudio	,Serie A,Italy,Italy,1400000,2000000,2016-12-19 00:00:00,Hellas Verona
Antonio Donnarumma	,Serie A,Italy,Italy,500000,800000,2012-05-26 00:00:00,AC Milan
Antonio Mirante	,Serie A,Italy,Italy,800000,6000000,2014-07-01 00:00:00,AS Roma
Antonio Rosati	,Serie A,Italy,Italy,200000,2800000,2011-06-21 00:00:00,Torino
Armando Izzo	,Serie A,Italy,Italy,20000000,20000000,2019-06-06 00:00:00,Torino
Arturo Calabresi	,Ligue 1,Italy,Italy,1800000,2000000,2018-12-20 00:00:00,SC Amiens
Biagio Meccariello	,Serie A,Italy,Italy,600000,600000,2019-06-05 00:00:00,Lecce
Bruno Martella	,Serie A,Italy,Italy,1800000,2200000,2018-06-07 00:00:00,Brescia
Bryan Cristante	,Serie A,Italy,Italy,25000000,25000000,2018-06-07 00:00:00,AS Roma
Carlo Pinsoglio	,Serie A,Italy,Italy,500000,1000000,2015-02-10 00:00:00,Juventus
Ciro Immobile	,Serie A,Italy,Italy,40000000,50000000,2018-06-07 00:00:00,Lazio
Claud Adjapong	,Serie A,Italy,Italy,3500000,4000000,2018-06-07 00:00:00,Hellas Verona
Cristian Battocchio	,Ligue 1,Italy,Italy,1500000,1750000,2017-06-15 00:00:00,Stade Brest 29
Cristian Dell'Orco	,Serie A,Italy,Italy,1000000,1000000,2017-03-28 00:00:00,Lecce
Cristiano Biraghi	,Serie A,Italy,Italy,10000000,10000000,2018-12-20 00:00:00,Inter
Cristiano Piccini	,LaLiga,Italy,Italy,10000000,10000000,2019-06-11 00:00:00,Valencia
Daniel Bessa	,Serie A,Italy,Italy,4000000,5000000,2018-12-20 00:00:00,Hellas Verona
Daniel Caligiuri	,Bundesliga,Italy,Italy,6500000,7500000,2015-07-01 00:00:00,FC Schalke 04
Daniele Baselli	,Serie A,Italy,Italy,10000000,10000000,2018-06-07 00:00:00,Torino
Daniele Dessena	,Serie A,Italy,Italy,500000,4000000,2008-02-05 00:00:00,Brescia
Daniele Gastaldello	,Serie A,Italy,Italy,300000,5500000,2011-01-10 00:00:00,Brescia
Daniele Padelli	,Serie A,Italy,Italy,800000,2000000,2014-07-01 00:00:00,Inter
Daniele Ragatzu	,Serie A,Italy,Italy,400000,1500000,2010-06-30 00:00:00,Cagliari Calcio
Daniele Rugani	,Serie A,Italy,Italy,22000000,22000000,2018-06-07 00:00:00,Juventus
